,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,2.356269598007202,0.14385353028774261,2.104569911956787,0.22764228284358978
1,2.0082807540893555,0.21708805859088898,1.8637572526931763,0.26829269528388977
2,1.8541803359985352,0.24847428500652313,1.7375614643096924,0.3048780560493469
3,1.7492015361785889,0.29293811321258545,1.581900954246521,0.353658527135849
4,1.6140364408493042,0.31822144985198975,1.5680058002471924,0.288617879152298
5,1.5346626043319702,0.3382737636566162,1.4773410558700562,0.33739838004112244
6,1.4015676975250244,0.40627723932266235,1.4279658794403076,0.42276424169540405
7,1.3522288799285889,0.41499564051628113,1.2516926527023315,0.4471544623374939
8,1.2120249271392822,0.5065388083457947,1.20244300365448,0.5081300735473633
9,1.1528069972991943,0.4978204071521759,1.0843188762664795,0.5691056847572327
10,1.0767570734024048,0.5326939821243286,1.0772087574005127,0.5569105744361877
11,1.0208228826522827,0.5605928301811218,0.9437547922134399,0.6463414430618286
12,0.8719268441200256,0.6442894339561462,0.909915566444397,0.5934959053993225
13,0.8089102506637573,0.6713165044784546,0.7350202202796936,0.727642297744751
14,0.7055719494819641,0.7183958292007446,0.7127482891082764,0.7317073345184326
15,0.6173208355903625,0.7750653624534607,0.6670671701431274,0.7317073345184326
16,0.6315237283706665,0.7550130486488342,0.6091201901435852,0.792682945728302
17,0.6164274215698242,0.7637314796447754,0.6323369741439819,0.7642276287078857
18,0.5751913189888,0.7811682820320129,0.6204915046691895,0.7520325183868408
19,0.5996255874633789,0.7541412115097046,0.586350679397583,0.7886179089546204
20,0.5182666778564453,0.8055797815322876,0.5066723823547363,0.792682945728302
21,0.46271076798439026,0.8491717576980591,0.5002104043960571,0.8333333134651184
22,0.4281323552131653,0.842197060585022,0.4381822943687439,0.857723593711853
23,0.36034253239631653,0.8849171996116638,0.4678034782409668,0.8333333134651184
24,0.4317722022533417,0.8326067924499512,0.44098231196403503,0.8617886304855347
25,0.33213308453559875,0.8805579543113708,0.4035269021987915,0.8536585569381714
26,0.34377315640449524,0.8805579543113708,0.42743781208992004,0.8821138143539429
27,0.3099689483642578,0.8805579543113708,0.4068211615085602,0.8739837408065796
28,0.29517099261283875,0.898866593837738,0.43626368045806885,0.8292682766914368
29,0.29417046904563904,0.8962510824203491,0.4378588795661926,0.8658536672592163
30,0.32529833912849426,0.8796861171722412,0.41632577776908875,0.8373983502388
31,0.28180232644081116,0.898866593837738,0.2973826825618744,0.8821138143539429
32,0.23000645637512207,0.9171752333641052,0.3141438663005829,0.8902438879013062
33,0.32000061869621277,0.8823016285896301,0.35165730118751526,0.8821138143539429
34,0.25643762946128845,0.912816047668457,0.4418450891971588,0.8658536672592163
35,0.33814695477485657,0.8761987686157227,0.42851585149765015,0.8617886304855347
36,0.25008687376976013,0.9163033962249756,0.30513545870780945,0.8983739614486694
37,0.21633575856685638,0.9276373386383057,0.4968600571155548,0.8495935201644897
38,0.2277126908302307,0.912816047668457,0.2686057984828949,0.8983739614486694
39,0.23030304908752441,0.9102005362510681,0.2588830888271332,0.8983739614486694
40,0.15817782282829285,0.9450740814208984,0.2312268614768982,0.934959352016449
41,0.1478220373392105,0.9468178153038025,0.1867186576128006,0.9146341681480408
42,0.17505377531051636,0.9328683614730835,0.24493595957756042,0.8983739614486694
43,0.14677003026008606,0.9555361866950989,0.254291832447052,0.9065040946006775
44,0.12319670617580414,0.9537925124168396,0.2274531126022339,0.934959352016449
